Restult of Experiments
Exp nr.	Rep	Model	nScen	sd	Mtime	Gap	nNodes	Rtime	fcuts	ocuts	obj	TIC
0	1	5	200	0.1	300.0	0.0	1.0	22.539	30	3	5.2334493287E8	22.491
0	2	5	200	0.1	300.0	0.0	1.0	21.268	30	3	5.2031747892E8	21.217
1	0	5	300	0.1	300.0	0.0	1.0	33.334	30	3	5.1881695093E8	33.292
1	1	5	300	0.1	300.0	0.0	1.0	31.432	30	3	5.2067496528E8	31.388
1	2	5	300	0.1	300.0	0.0	1.0	31.254	30	3	5.2028665787E8	31.209



0	0	1	400	0.1	300.0	0.0	0.0	52.219	0	0	5.2229467302E8	0
0	1	1	400	0.1	300.0	0.0	0.0	53.236	0	0	5.2459160546E8	0
0	2	1	400	0.1	300.0	0.0	0.0	50.74	0	0	5.1480972873E8	0
1	0	1	500	0.1	300.0	0.0	0.0	72.738	0	0	5.2094016449E8	0
1	1	1	500	0.1	300.0	0.0	0.0	71.622	0	0	5.2233753446E8	0
1	2	1	500	0.1	300.0	0.0	0.0	71.234	0	0	5.2056456694E8	0
0	0	1	750	0.1	300.0	0.0	0.0	125.154	0	0	5.1912793348E8	0
0	1	1	750	0.1	300.0	0.0	0.0	125.119	0	0	5.2021087793E8	0
0	2	1	750	0.1	300.0	0.0	0.0	125.448	0	0	5.1802083985E8	0
1	0	1	1000	0.1	300.0	0.0	0.0	197.57	0	0	5.1999180952E8	0
1	1	1	1000	0.1	300.0	0.0	0.0	197.303	0	0	5.1857326168E8	0
1	2	1	1000	0.1	300.0	0.0	0.0	197.218	0	0	5.2124356428E8	0
0	0	1	1500	0.1	300.0	-100.0	0.0	319.749	0	0	-1.0	0
0	1	1	1500	0.1	300.0	-100.0	0.0	321.125	0	0	-1.0	0
0	2	1	1500	0.1	300.0	-100.0	0.0	321.213	0	0	-1.0	0

0	0	4	400	0.1	300.0	0.0	1.0	87.881	30	3	5.2229467302E8	87.812
0	1	4	400	0.1	300.0	0.0	1.0	85.371	30	3	5.2459160546E8	85.321
0	2	4	400	0.1	300.0	0.0	1.0	85.438	30	3	5.1480972873E8	85.391
1	0	4	500	0.1	300.0	0.0	1.0	108.406	30	3	5.2094016449E8	108.363
1	1	4	500	0.1	300.0	0.0	1.0	105.541	30	3	5.2233753446E8	105.495
1	2	4	500	0.1	300.0	0.0	1.0	105.654	30	3	5.2056456694E8	105.61
0	0	4	750	0.1	300.0	0.0	1.0	164.397	30	3	5.1912793348E8	164.332
0	1	4	750	0.1	300.0	0.0	1.0	162.52	30	3	5.2021087793E8	162.475
0	2	4	750	0.1	300.0	0.0	1.0	161.831	30	3	5.1802083985E8	161.786
1	0	4	1000	0.1	300.0	0.0	1.0	212.87	30	3	5.1999180952E8	212.821
1	1	4	1000	0.1	300.0	0.0	1.0	210.285	30	3	5.1857326168E8	210.236
1	2	4	1000	0.1	300.0	0.0	1.0	211.724	30	3	5.2124356428E8	211.679
0	0	4	1500	0.1	300.0	0.0	1.0	324.004	30	3	5.1952969453E8	323.937
0	1	4	1500	0.1	300.0	0.0	1.0	319.988	30	3	5.2062281694E8	319.943
0	2	4	1500	0.1	300.0	0.0	1.0	323.517	30	3	5.2299885084E8	323.463

0	0	5	400	0.1	300.0	0.0	1.0	45.138	30	3	5.2229467302E8	45.077
0	1	5	400	0.1	300.0	0.0	1.0	42.56	30	3	5.2459160546E8	42.51
0	2	5	400	0.1	300.0	0.0	1.0	43.311	30	3	5.1480972873E8	43.26
1	0	5	500	0.1	300.0	0.0	1.0	55.611	30	3	5.2094016449E8	55.568
1	1	5	500	0.1	300.0	0.0	1.0	54.17	30	3	5.2233753446E8	54.121
1	2	5	500	0.1	300.0	0.0	1.0	53.315	30	3	5.2056456694E8	53.27
0	0	5	750	0.1	300.0	0.0	1.0	84.425	30	3	5.1912793348E8	84.353
0	1	5	750	0.1	300.0	0.0	1.0	81.05	30	3	5.2021087793E8	81.002
0	2	5	750	0.1	300.0	0.0	1.0	82.518	30	3	5.1802083985E8	82.475
1	0	5	1000	0.1	300.0	0.0	1.0	116.352	30	3	5.1999180952E8	116.307
1	1	5	1000	0.1	300.0	0.0	1.0	111.719	30	3	5.1857326168E8	111.674
1	2	5	1000	0.1	300.0	0.0	1.0	110.053	30	3	5.2124356428E8	110.01
0	0	5	1500	0.1	300.0	0.0	1.0	160.601	30	3	5.1952969453E8	160.538
0	1	5	1500	0.1	300.0	0.0	1.0	157.237	30	3	5.2062281694E8	157.19
0	2	5	1500	0.1	300.0	0.0	1.0	156.878	30	3	5.2299885084E8	156.838



0	0	1	25	0.3	300.0	0.0	0.0	1.469	0	0	5.5533436642E8	0
0	1	1	25	0.3	300.0	0.0	0.0	1.376	0	0	5.8271276357E8	0
0	2	1	25	0.3	300.0	0.0	0.0	1.344	0	0	5.2089778259E8	0
1	0	1	50	0.3	300.0	0.0	0.0	3.271	0	0	5.2493496408E8	0
1	1	1	50	0.3	300.0	0.0	0.0	3.091	0	0	5.3789338063E8	0
1	2	1	50	0.3	300.0	0.0	0.0	3.16	0	0	5.084281747E8	0
2	0	1	100	0.3	300.0	0.0	0.0	8.051	0	0	5.2966280064E8	0
2	1	1	100	0.3	300.0	0.0	0.0	8.059	0	0	5.2291013694E8	0
2	2	1	100	0.3	300.0	0.0	0.0	7.686	0	0	5.3401256454E8	0
0	0	1	200	0.3	300.0	0.0	0.0	22.133	0	0	5.0500652181E8	0
0	1	1	200	0.3	300.0	0.0	0.0	21.396	0	0	5.2869768486E8	0
0	2	1	200	0.3	300.0	0.0	0.0	21.761	0	0	5.19615323E8	0
1	0	1	300	0.3	300.0	0.0	0.0	37.596	0	0	5.1511373904E8	0
1	1	1	300	0.3	300.0	0.0	0.0	37.475	0	0	5.2078133599E8	0
1	2	1	300	0.3	300.0	0.0	0.0	37.433	0	0	5.1989094296E8	0

0	0	2	25	0.3	300.0	0.0	1.0	38.314	30	3	5.5533436642E8	38.245
0	1	2	25	0.3	300.0	0.0	1.0	37.423	30	3	5.8271276357E8	37.368
0	2	2	25	0.3	300.0	0.0	1.0	38.134	30	3	5.2089778259E8	38.088
1	0	2	50	0.3	300.0	0.0	1.0	84.262	30	3	5.2493496408E8	84.208
1	1	2	50	0.3	300.0	0.0	1.0	83.554	30	4	5.3789338063E8	83.5
1	2	2	50	0.3	300.0	0.0	1.0	84.144	30	3	5.084281747E8	84.101
2	0	2	100	0.3	300.0	0.0	1.0	188.846	30	3	5.2966280064E8	188.798
2	1	2	100	0.3	300.0	0.0	1.0	189.346	30	3	5.2291013694E8	189.298
2	2	2	100	0.3	300.0	0.0	1.0	190.829	30	3	5.3401256454E8	190.686
0	0	2	200	0.3	300.0	-100.0	0.0	335.915	30	1	-1.0	335.857
0	1	2	200	0.3	300.0	-100.0	0.0	333.709	30	1	-1.0	333.656
0	2	2	200	0.3	300.0	-100.0	0.0	331.76	30	1	-1.0	331.716
1	0	2	300	0.3	300.0	-100.0	0.0	427.9	28	0	-1.0	427.864
1	1	2	300	0.3	300.0	-100.0	0.0	303.543	20	0	-1.0	303.523
1	2	2	300	0.3	300.0	-100.0	0.0	302.025	20	0	-1.0	302.005

0	0	3	25	0.3	300.0	0.0	1.0	26.922	750	3	5.5533436642E8	26.843
0	1	3	25	0.3	300.0	0.0	1.0	25.364	750	3	5.8271276357E8	25.311
0	2	3	25	0.3	300.0	0.0	1.0	26.081	750	3	5.2089778259E8	26.025
1	0	3	50	0.3	300.0	0.0	1.0	52.187	1500	3	5.2493496408E8	52.129
1	1	3	50	0.3	300.0	0.0	1.0	53.013	1500	3	5.3789338063E8	52.956
1	2	3	50	0.3	300.0	0.0	1.0	51.284	1500	3	5.084281747E8	51.233
2	0	3	100	0.3	300.0	0.0	1.0	108.06	3000	3	5.2966280064E8	108.005
2	1	3	100	0.3	300.0	0.0	1.0	102.996	3000	3	5.2291013694E8	102.938
2	2	3	100	0.3	300.0	0.0	1.0	107.468	3000	3	5.3401256454E8	107.414
0	0	3	200	0.3	300.0	0.0	1.0	225.074	6000	3	5.0500652181E8	224.99
0	1	3	200	0.3	300.0	0.0	1.0	214.07	6000	3	5.2869768486E8	214.003
0	2	3	200	0.3	300.0	0.0	1.0	211.856	6000	3	5.19615323E8	211.795
1	0	3	300	0.3	300.0	100.0	0.0	307.292	9000	2	5.1511373904E8	307.225
1	1	3	300	0.3	300.0	100.0	0.0	314.395	9000	3	5.2078133599E8	314.331
0	2	3	300	0.3	300.0	100.0	0.0	313.968	9000	3	5.1989094296E8	313.902

0	0	4	25	0.3	300.0	0.0	1.0	7.259	30	3	5.5533436642E8	7.187
0	1	4	25	0.3	300.0	0.0	1.0	6.494	30	3	5.8271276357E8	6.446
0	2	4	25	0.3	300.0	0.0	1.0	6.228	30	3	5.2089778259E8	6.175
1	0	4	50	0.3	300.0	0.0	1.0	11.617	30	3	5.2493496408E8	11.569
1	1	4	50	0.3	300.0	0.0	1.0	12.021	30	3	5.3789338063E8	11.975
1	2	4	50	0.3	300.0	0.0	1.0	12.796	30	3	5.084281747E8	12.749
2	0	4	100	0.3	300.0	0.0	1.0	24.15	30	3	5.2966280064E8	24.104
2	1	4	100	0.3	300.0	0.0	1.0	24.725	30	3	5.2291013694E8	24.674
2	2	4	100	0.3	300.0	0.0	1.0	23.318	30	3	5.3401256454E8	23.27
0	0	4	200	0.3	300.0	0.0	1.0	47.119	30	3	5.0500652181E8	47.045
0	1	4	200	0.3	300.0	0.0	1.0	46.143	30	3	5.2869768486E8	46.097
0	2	4	200	0.3	300.0	0.0	1.0	46.288	30	3	5.19615323E8	46.242
1	0	4	300	0.3	300.0	0.0	1.0	68.323	30	3	5.1511373904E8	68.2810	
1	1	4	300	0.3	300.0	0.0	1.0	66.525	30	3	5.2078133599E8	66.476
1	2	4	300	0.3	300.0	0.0	1.0	65.454	30	3	5.1989094296E8	65.411

0	0	5	25	0.3	300.0	0.0	1.0	4.446	30	3	5.5533436642E8	4.376
0	1	5	25	0.3	300.0	0.0	1.0	3.785	30	3	5.8271276357E8	3.735
0	2	5	25	0.3	300.0	0.0	1.0	3.659	30	3	5.2089778259E8	3.604
1	0	5	50	0.3	300.0	0.0	1.0	6.216	30	3	5.2493496408E8	6.175
1	1	5	50	0.3	300.0	0.0	1.0	6.237	30	3	5.3789338063E8	6.19
1	2	5	50	0.3	300.0	0.0	1.0	6.164	30	3	5.084281747E8	6.116
2	0	5	100	0.3	300.0	0.0	1.0	11.425	30	3	5.2966280064E8	11.374
2	1	5	100	0.3	300.0	0.0	1.0	11.385	30	3	5.2291013694E8	11.335
2	2	5	100	0.3	300.0	0.0	1.0	11.61	30	3	5.3401256454E8	11.565
0	0	5	200	0.3	300.0	0.0	1.0	23.791	30	3	5.0500652181E8	23.723
0	1	5	200	0.3	300.0	0.0	1.0	23.782	30	3	5.2869768486E8	23.733
0	2	5	200	0.3	300.0	0.0	1.0	23.995	30	3	5.19615323E8	23.949
1	0	5	300	0.3	300.0	0.0	1.0	32.658	30	3	5.1511373904E8	32.61
1	1	5	300	0.3	300.0	0.0	1.0	33.65	30	4	5.2071800587E8	33.603
1	2	5	300	0.3	300.0	0.0	1.0	33.718	30	4	5.1982761283E8	33.67




0	0	1	400	0.3	300.0	0.0	0.0	57.806	0	0	5.255469053E8	0
0	1	1	400	0.3	300.0	0.0	0.0	58.017	0	0	5.3243770261E8	0
0	2	1	400	0.3	300.0	0.0	0.0	58.975	0	0	5.0309207242E8	0
1	0	1	500	0.3	300.0	0.0	0.0	79.488	0	0	5.2178835252E8	0
1	1	1	500	0.3	300.0	0.0	0.0	80.146	0	0	5.2567548962E8	0
1	2	1	500	0.3	300.0	0.0	0.0	79.691	0	0	5.2035658707E8	0
0	0	1	750	0.3	300.0	0.0	0.0	142.414	0	0	5.1604668669E8	0
0	1	1	750	0.3	300.0	0.0	0.0	141.204	0	0	5.1938369628E8	0
0	2	1	750	0.3	300.0	0.0	0.0	144.197	0	0	5.1277813035E8	0
1	0	1	1000	0.3	300.0	0.0	0.0	223.368	0	0	5.186383148E8	0
1	1	1	1000	0.3	300.0	0.0	0.0	226.523	0	0	5.1438267128E8	0
1	2	1	1000	0.3	300.0	0.0	0.0	225.853	0	0	5.2239381244E8	0
0	0	1	1500	0.3	300.0	-100.0	0.0	321.776	0	0	-1.0	0
0	1	1	1500	0.3	300.0	-100.0	0.0	324.175	0	0	-1.0	0
0	2	1	1500	0.3	300.0	-100.0	0.0	322.622	0	0	-1.0	0


0	0	4	400	0.3	300.0	0.0	1.0	98.97	30	3	5.255469053E8	98.905
0	1	4	400	0.3	300.0	0.0	1.0	90.576	30	3	5.3243770261E8	90.529
0	2	4	400	0.3	300.0	0.0	1.0	89.106	30	3	5.0309207242E8	89.062
1	0	4	500	0.3	300.0	0.0	1.0	112.315	30	3	5.2178835252E8	112.272
1	1	4	500	0.3	300.0	0.0	1.0	111.922	30	3	5.2567548962E8	111.877
1	2	4	500	0.3	300.0	0.0	1.0	111.666	30	3	5.2035658707E8	111.619
0	0	4	750	0.3	300.0	0.0	1.0	172.407	30	3	5.1604668669E8	172.339
0	1	4	750	0.3	300.0	0.0	1.0	166.001	30	3	5.1938369628E8	165.953
0	2	4	750	0.3	300.0	0.0	1.0	163.697	30	3	5.1277813035E8	163.651
1	0	4	1000	0.3	300.0	0.0	1.0	220.285	30	3	5.186383148E8	220.24
1	1	4	1000	0.3	300.0	0.0	1.0	218.635	30	3	5.1438267128E8	218.588
1	2	4	1000	0.3	300.0	0.0	1.0	219.664	30	3	5.2239381244E8	219.617
0	0	4	1500	0.3	300.0	0.0	1.0	340.704	30	3	5.1728679916E8	340.635
0	1	4	1500	0.3	300.0	0.0	1.0	334.593	30	3	5.2053153275E8	334.551
0	2	4	1500	0.3	300.0	0.0	1.0	336.699	30	3	5.2765943877E8	336.652

0	0	5	400	0.3	300.0	0.0	1.0	46.152	30	3	5.255469053E8	46.087
0	1	5	400	0.3	300.0	0.0	1.0	43.764	30	3	5.3243770261E8	43.711
0	2	5	400	0.3	300.0	0.0	1.0	52.09	30	3	5.0309207242E8	52.04
1	0	5	500	0.3	300.0	0.0	1.0	57.756	30	3	5.2178835252E8	57.709
1	1	5	500	0.3	300.0	0.0	1.0	54.235	30	3	5.2567548962E8	54.189
1	2	5	500	0.3	300.0	0.0	1.0	53.874	30	3	5.2035658707E8	53.827
0	0	5	750	0.3	300.0	0.0	1.0	82.892	30	3	5.1604668669E8	82.825
0	1	5	750	0.3	300.0	0.0	1.0	85.596	30	3	5.1938369628E8	85.545
0	2	5	750	0.3	300.0	0.0	1.0	81.904	30	3	5.1277813035E8	81.862
1	0	5	1000	0.3	300.0	0.0	1.0	111.272	30	3	5.186383148E8	111.226
1	1	5	1000	0.3	300.0	0.0	1.0	109.578	30	3	5.1438267128E8	109.533
1	2	5	1000	0.3	300.0	0.0	1.0	112.587	30	3	5.2239381244E8	112.539
0	0	5	1500	0.3	300.0	0.0	1.0	167.136	30	3	5.1728679916E8	167.061
0	1	5	1500	0.3	300.0	0.0	1.0	163.434	30	3	5.2053153275E8	163.391
0	2	5	1500	0.3	300.0	0.0	1.0	166.661	30	3	5.2765943877E8	166.615



